ID,name,screen_name,followers_count,friends_count,listed_count,statuses_count,verified,created_at,description,class
17461978,SHAQ ,SHAQ ,15349596,692,45568,9798,True ,Tue Nov 18 10:27:25 +0000 2008 ,"VERY QUOTATIOUS, I PERFORM RANDOM ACTS OF SHAQNESS ",normal
1297437077403879936,Jennifer Fishpaw ,JenniferFishpaw ,0,44,0,0,False ,Sun Aug 23 07:35:11 +0000 2020 , ,buzzer
17685258,Brad Parscale ,parscale ,762839,475,3201,5518,True ,Thu Nov 27 18:47:32 +0000 2008 ,Owner @ Parscale Strategy. Senior Advisor Digital & Data for @realdonaldtrump. Longest Presidential Campaign Manager in US History. Big Data Crusher. Innovator. ,normal
15750898,FOX 13 Tampa Bay ,FOX13News ,327587,4801,1744,192876,True ,Wed Aug 06 15:12:10 +0000 2008 ,"Bringing you the important stuff like breaking news & weather alerts. But also plenty of fun stuff, like sports updates and all those 'only-in-Florida' stories. ",normal
1659167666,Vonte The Plug ðŸŽ¤ðŸ”Œ ,VonteThePlugNC ,13324,647,44,103,False ,Sat Aug 10 03:25:35 +0000 2013 ,MOTIVATION 3 OUT NOW ðŸ”¥ Singles: â€˜Lil Shawdyâ€™ & â€˜You Know How Iâ€™m Comingâ€™ Available now on ALL PLATFORMS ,normal
34743251,SpaceX ,SpaceX ,12601567,96,26952,4879,True ,Thu Apr 23 21:53:30 +0000 2009 ,"SpaceX designs, manufactures and launches the worldâ€™s most advanced rockets and spacecraft ",normal
27260086,Justin Bieber ,justinbieber ,112403156,295385,550181,31055,True ,Sat Mar 28 16:41:22 +0000 2009 , ,normal
57097104,Matthew McConaughey ,McConaughey ,2656850,168,5279,1873,True ,Wed Jul 15 18:37:11 +0000 2009 ,Official twitter page of Matthew McConaughey and the Just Keep Livin' Organization ,normal
1297609266623209984,Richard Aldrich ,Richard37226643 ,4,66,0,0,False ,Sun Aug 23 19:00:42 +0000 2020 ,l have a very goodlife with lots of good friends and fun. ,buzzer
207809313,BJP ,BJP4India ,14514819,3,2861,204827,True ,Tue Oct 26 02:19:07 +0000 2010 ,"Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. à¤­à¤¾à¤°à¤¤à¥€à¤¯ à¤œà¤¨à¤¤à¤¾ à¤ªà¤¾à¤°à¥à¤Ÿà¥€ (à¤­à¤¾à¤œà¤ªà¤¾)  https://t.co/d1IYtw5taF ",normal
24212655,Carrie Nahabedian ,cnaha ,3756,326,155,1020,False ,Fri Mar 13 17:40:15 +0000 2009 ,"James Beard Award winning and Michelin starred chef of the late & great NAHA, and French inspired Brindille. Local Chicago gal who loves our great city! ",normal
1485029462,Wheels Up ,WheelsUp ,189379,163965,286,5947,True ,Wed Jun 05 13:29:52 +0000 2013 ,Revolutionary membership-based private aviation company that reduces the upfront cost to fly privately while providing an unrivaled lifestyle platform ,normal
105297123,EA SPORTS FIFA ,EASPORTSFIFA ,7723523,348,6646,269504,True ,Fri Jan 15 23:38:36 +0000 2010 ,"Rated (E) for Everyone. Official EA SPORTS account for the FIFA franchise. By tweeting to us you're consenting its use in any media, including TV. ",normal
849880970,Nile Gardiner ,NileGardiner ,13120,1406,235,44434,False ,Thu Sep 27 20:07:18 +0000 2012 ,Foreign policy analyst. Former aide to Margaret Thatcher. ,normal
15764644,Nancy Pelosi ,SpeakerPelosi ,5174221,362,19363,10743,True ,Thu Aug 07 15:35:02 +0000 2008 ,"Speaker of the House, focused on strengthening America's middle class and creating jobs; mother, grandmother, dark chocolate connoisseur. ",normal
2463494166,Lynne Cheney ,LynneVCheney ,1468,4,24,81,True ,Fri Apr 25 17:29:27 +0000 2014 ,"Author, James Madison: A Life Reconsidered. Diary of a book tour. ",buzzer
39555442,Shawn ,CSI_GotGame ,2829,789,31,211695,False ,Tue May 12 18:02:20 +0000 2009 ,I'm #DOPE Driven. Outstanding. Prosperous. Elite. ,normal
480604244,Matteo Scolari ,ScolariMatteo ,648,513,7,542,False ,Wed Feb 01 17:49:30 +0000 2012 ,Direttore Gruppo editoriale Verona Network ,buzzer
764941707133811968,Jean ,jean_schumaker ,49,369,0,838,False ,Sun Aug 14 21:48:09 +0000 2016 , ,buzzer
23022687,Ted Cruz ,tedcruz ,3869942,6201,12362,28291,True ,Fri Mar 06 03:20:20 +0000 2009 ,"Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate. ",normal
90868268,David Lubman ,dglubman ,1,39,0,31,False ,Wed Nov 18 13:21:44 +0000 2009 , ,buzzer
14230524,Lady Gaga ,ladygaga ,81823325,122006,207749,9286,True ,Wed Mar 26 22:37:48 +0000 2008 ,â€œChromaticaâ€ âš”ï¸ðŸ’“ OUT NOW https://t.co/137uGkbrgF | â€œRAIN ON MEâ€https://t.co/vkSOZOs3ep ,normal
726414091,Trump Charlotte ,TrumpCharlotte ,98422,120,296,1819,True ,Mon Jul 30 16:45:19 +0000 2012 ,The Official Twitter page of Trump National Golf Club Charlotte. A fully-private golf course and clubhouse with incredible views of Lake Norman. ,normal
236699098,Kylie Jenner ,KylieJenner ,35164841,1023,12102,13935,True ,Tue Jan 11 05:03:57 +0000 2011 , ,normal
939091,Joe Biden ,JoeBiden ,8865461,28,19791,5580,True ,Sun Mar 11 17:51:24 +0000 2007 ,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak ",normal
1280688197068969984,trump supporter ,Jasmine82765052 ,2,46,0,4,False ,Wed Jul 08 02:20:46 +0000 2020 ,Iâ€™m a proud trump supporter ,buzzer
177673457,Kavitha Kalvakuntla ,RaoKavitha ,989533,190,187,5858,True ,Thu Aug 12 19:37:21 +0000 2010 ,TRS party;Founding President-Telangana Jagruthi(NGO);State Chief Commissioner - Bharat Scouts & Guides; phone # 040-23599999 kavitha.telangana@gmail.com ,normal
558797310,Manchester United ,ManUtd ,22772146,135,20805,61129,True ,Fri Apr 20 15:17:43 +0000 2012 ,Official #MUFC account. @ManUtd_ES ðŸ‡ªðŸ‡¸ | @ManUtd_ID ðŸ‡®ðŸ‡© | @ManUtd_JP ðŸ‡¯ðŸ‡µ | @ManUtd_MY ðŸ‡²ðŸ‡¾ | @ManUtd_AR Ù…Ø§Ù†Ø´Ø³ØªØ± ÙŠÙˆÙ†Ø§ÙŠØªØ¯ ,normal
208120290,U.S. FDA ,US_FDA ,369322,152,3998,13336,True ,Tue Oct 26 17:31:41 +0000 2010 ,Here you'll find the latest US Food and Drug Administration news and information. Privacy Policy - https://t.co/qFjOBDYQRe ,normal
